贺岁片,#genre#
CCTV-17农业,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv17#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-4K超清,http://111.161.121.181/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://117.148.187.56:80/PLTV/88888888/224/3221226758/1.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229683/index.m3u8#http://110.242.20.87/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.64.91/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.232/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.112/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.73/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.110/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.113/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.64.92/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.72/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.234/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.114/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.64.237/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.66.74/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8#http://120.221.64.91/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.232/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.112/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.73/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.110/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.113/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.64.92/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.72/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.234/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.114/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.64.237/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://120.221.66.74/livews-4k.5club.cctv.cn/live/4K0205.stream/playlist.m3u8#http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv4k
CCTV兵器科技,http://39.135.253.59/PLTV/88888888/224/3221230162/1.m3u8#http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=bqkj  
CCTV央视台球,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ystq#http://39.135.253.38/PLTV/88888888/224/3221230173/1.m3u8
CCTV文化精品,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ysjp   
CCTV精品剧场,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jpjc
CCTV世界地理,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=sjdl#http://39.135.253.10/PLTV/88888888/224/3221230072/1.m3u8
CCTV高尔夫网球,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gefwq#http://39.135.253.27/PLTV/88888888/224/3221230085/1.m3u8
CCTV怀旧剧场,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hjjc   
CCTV第一剧场,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=dyjc#http://39.135.253.8/PLTV/88888888/224/3221230080/1.m3u8
CCTV风云剧场,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fyjc   
CCTV风云音乐,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fyyy   
CCTV风云足球,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fyzq   
CCTV女性时尚,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=nxss   
CCTV卫生健康,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=wsjk   
CCTV老故事台,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=lgs 
CCTV发现之旅,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fxzl   
CCTV中学生台,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hbxxzn 
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
爱上4k,http://dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226352/index.m3u8#http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
CGTN-国际台,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctvnews

卫视,#genre#
山西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225895/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226410/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226114/index.m3u8#http://101.71.255.229:6610/zjhs/2/10041/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8
湖南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hunws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226193/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226268/index.m3u8#http://219.147.162.117:65530/live/hunanws/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
浙江卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=zjws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226247/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226365/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226504/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8#http://219.147.162.117:65530/live/zjws/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226144/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226266/index.m3u8
安徽卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ahws#http://dbiptv.sn.chinamobile.com/88888893/16/20210210/274926462/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226223/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226499/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226205/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226311/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8#http://219.147.162.117:65530/live/ahws/index.m3u8#http://dbiptv.sn.chinamobile.com/88888893/16/20210210/274926462/1.m3u8
江苏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jsws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226242/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226366/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226506/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226264/index.m3u8#http://219.147.162.117:65530/live/jsws/index.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
山东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=sdws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226244/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226501/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226162/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226297/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视高清,http://dbiptv.sn.chinamobile.com/88888893/16/20210209/274926328/1.m3u8
湖北卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hubws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226503/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226159/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226295/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
江西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jxws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226207/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226305/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
四川卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=scws#http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8
四川卫视高清,http://dbiptv.sn.chinamobile.com/88888893/16/20210205/274884171/1.m3u8
北京卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=bjws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226367/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226436/.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226441/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226161/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226270/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://219.147.162.117:65530/live/bjws/index.m3u8
天津卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=tjws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226246/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226502/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226191/index.m3u8#http://219.147.162.117:65530/live/tjws/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
河南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=henws#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226947/index.m3u8#http://ivi.bupt.edu.cn/hls/hntv.m3u8
东南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=dnws#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226406/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226496/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226182/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226309/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8#rtsp://183.252.173.190/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
河北卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hebws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
兵团卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=btws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226541/1.m3u8
深圳卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=szws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226495/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226274/index.m3u8#http://219.147.162.117:65530/live/szws/index.m3u8
东方卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=dfws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226364/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226505/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226299/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226155/index.m3u8#http://219.147.162.117:65530/live/dfws/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
广西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gxws#http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8#http://ivi.bupt.edu.cn/hls/gxhd.m3u8
厦门卫视,rtsp://183.252.176.27:554/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil#http://cstvalic.v.myalicdn.com/cstv/xiamen4_1/index.m3u8
福建卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
福建海峡,rtsp://183.252.173.190/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
吉林卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jlws
吉林卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226426/1.m3u8#http://219.147.162.117:65530/live/jlws/index.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226792/48616745.smil#http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
吉林卫视高清,http://dbiptv.sn.chinamobile.com/88888893/16/20210204/274875142/2.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226239/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226498/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226142/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226272/index.m3u8#http://219.147.162.117:65530/live/hljws/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
辽宁卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=lnws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226500/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226209/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226278/index.m3u8#http://219.147.162.117:65530/live/lnws/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
广东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gdws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226237/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226238/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226508/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226180/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226293/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
重庆卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cqws#http://39.134.39.39/PLTV/88888888/224/3221226280/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
陕西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=s1xws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226411/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视高清,http://dbiptv.sn.chinamobile.com/88888893/16/20210205/274876194/2.m3u8
云南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ynws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225902/1.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226108/10000100000000060000000002310150_0.smil#http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
龙江卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hljws
贵州卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gzws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226497/1.m3u8#rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#rtsp://183.252.173.190/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226276/index.m3u8
青海卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225893/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226412/1.m3u8#http://live.geermurmt.com/qhws/sd/live.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
海南卫视,http://39.134.39.37/TVOD/88888888/224/3221226301/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226427/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
甘肃卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gsws#http://39.134.39.37/TVOD/88888888/224/3221226240/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226240/index.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226414/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
宁夏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=nxws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225892/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226413/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8#http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=6
内蒙古卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=nmgws#http://live.m2oplus.nmtv.cn/1/playlist.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226415/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
新疆卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=xjws#http://livehyw5.chinamcache.com/hyw/zb01.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=xzws#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225900/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226428/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
三沙卫视,http://stream3.hnntv.cn/ssws/playlist.m3u8?_upt=e1fc7c421596383984#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226544/1.m3u8
南安卫视,http://natv.cnjrna.com:3000/channel/sovp/1000000000000018/video_1564_none.m3u8
晋江卫视,http://stream.jinjiang.tv/1/sd/live.m3u8
南方卫视,http://211.137.115.110:8080/gitv_live/G_NANFANG/G_NANFANG.m3u8
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil?icpid=88888888#rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
HKS卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
澳视卫星,http://61.244.22.4/ch3/ch3.live/index.m3u8

超清频道,#genre#
4K超高清电影,http://111.6.169.89/live.rxip.sc96655.com/live/emdy4k_8000.m3u8
NewTV动作电影 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/index.m3u8
NewTV古装剧场 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/index.m3u8#http://117.148.187.14/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229011/index.m3u8#http://117.148.187.97/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229710/index.m3u8
NewTV家庭剧场 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/index.m3u8
NewTV惊悚悬疑 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/index.m3u8
NewTV潮妈辣婆 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/index.m3u8#http://117.148.187.97/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229031/index.m3u8#http://117.148.187.51/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229725/index.m3u8
NewTV超级体育 8M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.176.144/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229026/index.m3u8#http://117.148.187.44/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229719/index.m3u8
NewTV超级电影 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225926/index.m3u8
NewTV超级电视剧 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225806/index.m3u8
NewTV超级综艺 4M1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
